Year;Uge;Kort rente;Lang rente
1998;47;4,25;6,45
1998;46;4,26;6,58
1998;45;4,4;6,58
1998;44;5,04;6,68
1998;43;4,48;6,74
1998;42;4,62;6,79
1998;41;4,84;6,63
1998;40;4,77;6,47
1998;39;5,51;6,75
1998;38;4,64;6,35
1998;37;4,56;6,33
1998;36;4,46;6,38
1998;35;4,45;6,3
1998;34;4,28;6,21
1998;33;3,33;6,17
1998;32;4,31;6,23
1998;31;4,3;6,27
1998;30;4,25;6,31
1998;29;4,35;6,32
1998;28;4,21;6,3
1998;27;4,18;6,34
1998;26;4,18;6,37
1998;25;4,16;6,39
1998;24;4,24;6,39
1998;23;4,32;6,42
1998;22;4,62;6,49
1998;21;4,67;6,55
1998;20;4,73;6,56
1998;19;4,46;6,55
1998;18;4,32;6,57
1998;17;4,32;6,47
1998;16;4,32;6,44
1998;15;4,18;6,47
1998;14;4,19;6,62
1998;13;4,14;6,59
1998;12;4,12;6,54
1998;11;4,13;6,55
1998;10;4,11;6,65
1998;9;4,14;6,7
1998;8;4,09;6,65
1998;7;4,15;6,84
1998;6;4,16;6,89
1998;5;4,17;6,9
1998;4;4,18;6,83
1998;3;4,13;6,9
1998;2;4,3;7
1998;1;4,36;7,14
